area,price,state,city,district,link
37,263,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/aktiivses-tondi-arikvartalis-parnu-mnt-142-tallinn-3190901.html?nr=1553&search_key=b7da17717c3492f930c87b3256769403
,117,Harjumaa, Tallinn, Lasnamäe,https://www.kv.ee/harjumaa-tallinn-lasnamae-ulemiste-city-suursojama-3140263.html?nr=1554&search_key=b7da17717c3492f930c87b3256769403
75,1130,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uurile-anda-uued-aklassi-burood-alates-50m2-2020-a-3160075.html?nr=1555&search_key=b7da17717c3492f930c87b3256769403
157,628,Raplamaa, Rapla vald, Rapla linn,https://www.kv.ee/rapla-linnas-asuvas-koidukastani-ettevotluspiirkon-3058967.html?nr=1556&search_key=b7da17717c3492f930c87b3256769403
2823,12704,Harjumaa, Rae vald, Lehmja,https://www.kv.ee/anname-uurile-laoja-tootmispinna-lookivi-pargis-ta-3113015.html?nr=1557&search_key=b7da17717c3492f930c87b3256769403
47,329,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/majakahekorruseline-kaasaegne-arihoone-buroohoone-3192954.html?nr=1558&search_key=b7da17717c3492f930c87b3256769403
29,119,Harjumaa, Tallinn, Mustamäe,https://www.kv.ee/kadaka-tee-44a-arihoones-uurile-anda-omaparane-loo-3168019.html?nr=1559&search_key=b7da17717c3492f930c87b3256769403
139,1758,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uurile-anda-esinduslik-buroopind-kauni-linnavaateg-3116597.html?nr=1560&search_key=b7da17717c3492f930c87b3256769403
79,435,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uurile-anda-endine-vaike-baar-kesklinnas-tegemist-3201219.html?nr=1561&search_key=b7da17717c3492f930c87b3256769403
329,4944,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uurile-anda-322-700m2-esinduslikku-buroopinda-kesk-2921280.html?nr=1562&search_key=b7da17717c3492f930c87b3256769403
329,4944,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/anname-uurile-kliendi-nouete-kohaselt-ehitatud-bur-2764172.html?nr=1563&search_key=b7da17717c3492f930c87b3256769403
71,299,Harjumaa, Tallinn, Põhja-Tallinn,https://www.kv.ee/buroo-heas-korras-sissepaaas-247-kaardiga-avatavad-3100973.html?nr=1564&search_key=b7da17717c3492f930c87b3256769403
22,220,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/vaade-vanalinna-ja-tammsaare-pargi-poole-pind-on-h-3198887.html?nr=1565&search_key=b7da17717c3492f930c87b3256769403
93,550,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uurile-anda-keskmises-seisukorras-aripind-luha-19-3199200.html?nr=1566&search_key=b7da17717c3492f930c87b3256769403
887,7899,Harjumaa, Tallinn, Lasnamäe,https://www.kv.ee/ulo-ehk-ulemiste-loftoffice-on-suursojamae-teel-ul-3183358.html?nr=1567&search_key=b7da17717c3492f930c87b3256769403
2947,17682,Harjumaa, Rae vald, Lehmja,https://www.kv.ee/anname-uurile-ladukontoresindus-tuupi-tallinn-tart-3096730.html?nr=1568&search_key=b7da17717c3492f930c87b3256769403
536,1715,Harjumaa, Tallinn, Mustamäe,https://www.kv.ee/uurile-anda-estakaadiga-laopind-mustamael-aadressi-3192477.html?nr=1569&search_key=b7da17717c3492f930c87b3256769403
37,320,Harjumaa, Tallinn, Lasnamäe,https://www.kv.ee/uurile-anda-37-m-suurune-burooruum-peatselt-avatav-3092134.html?nr=1570&search_key=b7da17717c3492f930c87b3256769403
442,3000,Harjumaa, Tallinn, Kristiine,https://www.kv.ee/anname-uurile-buroo-lao-voi-tootmispinna-tulika-ar-3173034.html?nr=1571&search_key=b7da17717c3492f930c87b3256769403
650,2600,Harjumaa, Saue vald, Alliku,https://www.kv.ee/anname-uurile-aripinna-mis-ideaalselt-sobib-laoks-2801171.html?nr=1572&search_key=b7da17717c3492f930c87b3256769403
90,299,Ida-Virumaa, Kohtla-Järve, Järve,https://www.kv.ee/uurile-anda-erinevaid-ruume-sh-toimiv-puidutookoda-2998381.html?nr=1573&search_key=b7da17717c3492f930c87b3256769403
103,618,Harjumaa, Tallinn, Lasnamäe,https://www.kv.ee/uurile-anda-korralik-ladu-peterburi-teel-estakaadv-3178749.html?nr=1574&search_key=b7da17717c3492f930c87b3256769403
800,5200,Harjumaa, Tallinn, Põhja-Tallinn,https://www.kv.ee/uurile-anda-aripind-maleva-tanaval-tegu-on-renovee-3048157.html?nr=1575&search_key=b7da17717c3492f930c87b3256769403
264,5027,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uurile-anda-a-kategooriasse-kuuluv-kaubandusteenin-2877031.html?nr=1576&search_key=b7da17717c3492f930c87b3256769403
170,3071,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/anname-uurile-aripinna-tallinna-sudalinnas-uues-so-3172599.html?nr=1577&search_key=b7da17717c3492f930c87b3256769403
50,500,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uurile-anda-esimese-korruse-aripind-suurusega-50-m-3169711.html?nr=1578&search_key=b7da17717c3492f930c87b3256769403
860,4300,Harjumaa, Tallinn, Lasnamäe,https://www.kv.ee/anname-uurile-aripinna-mis-sobib-ideaalselt-laoja-3152989.html?nr=1579&search_key=b7da17717c3492f930c87b3256769403
271,3252,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uurile-anda-burood-suuruses-250-10-000-m-kaasaegse-3187778.html?nr=1580&search_key=b7da17717c3492f930c87b3256769403
127,1405,Harjumaa, Tallinn, Mustamäe,https://www.kv.ee/anda-uurile-aripinnad-k3-loftoffice-tuupi-arimajas-3186049.html?nr=1581&search_key=b7da17717c3492f930c87b3256769403
85,595,Harjumaa, Rae vald, Peetri,https://www.kv.ee/uurile-on-anda-rae-vallas-peetri-kulas-asuv-kontor-3199682.html?nr=1582&search_key=b7da17717c3492f930c87b3256769403
341,1024,Harjumaa, Maardu,,https://www.kv.ee/muuga-sadama-vahetus-laheduses-anda-uurile-tootmis-3194950.html?nr=1583&search_key=b7da17717c3492f930c87b3256769403
270,1080,Tartumaa, Tartu, Tähtvere,https://www.kv.ee/anda-uurile-laopind-palsa-tee-2-laohoones-saku-maj-3188207.html?nr=1584&search_key=b7da17717c3492f930c87b3256769403
169,507,Ida-Virumaa, Narva,,https://www.kv.ee/idavirumaa-narva-kalda-8-kogupind-169-m-1-tuba-13-3162208.html?nr=1585&search_key=b7da17717c3492f930c87b3256769403
218,1526,Tartumaa, Tartu, Tartu linn,https://www.kv.ee/2019-aasta-maikuus-valmib-stockoffice-tuupi-arihoo-3080088.html?nr=1586&search_key=b7da17717c3492f930c87b3256769403
390,5070,Harjumaa, Tallinn, Kristiine,https://www.kv.ee/uurile-anda-uued-buroopinnad-parnu-maantee-aarses-3076054.html?nr=1587&search_key=b7da17717c3492f930c87b3256769403
142,994,Tartumaa, Tartu, Tartu linn,https://www.kv.ee/tartu-kesklinnas-rendile-anda-142-mpinda-hoones-on-2956551.html?nr=1588&search_key=b7da17717c3492f930c87b3256769403
129,1038,Harjumaa, Rae vald, Järveküla,https://www.kv.ee/peetrisse-on-kerkimas-uus-kahekordne-multifunktsio-3184292.html?nr=1589&search_key=b7da17717c3492f930c87b3256769403
20,166,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uurile-anda-kesklinnas-superministeeriumi-juures-i-2987797.html?nr=1590&search_key=b7da17717c3492f930c87b3256769403
90,630,Harjumaa, Tallinn, Lasnamäe,https://www.kv.ee/vahendustasuta-uurile-anda-esinduslik-burooruum-90-2990493.html?nr=1591&search_key=b7da17717c3492f930c87b3256769403
224,3369,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/buroo113o-on-uue-polvkonna-buroohoone-tallinna-pe-3192736.html?nr=1592&search_key=b7da17717c3492f930c87b3256769403
77,385,Harjumaa, Tallinn, Mustamäe,https://www.kv.ee/uurile-anda-fotostuudioks-sobiv-aripind-mustamael-3193857.html?nr=1593&search_key=b7da17717c3492f930c87b3256769403
1698,5094,Harjumaa, Tallinn, Kristiine,https://www.kv.ee/mustamae-tee-vahetus-laheduses-uurile-anda-laoks-j-3133907.html?nr=1594&search_key=b7da17717c3492f930c87b3256769403
500,3250,Harjumaa, Tallinn, Põhja-Tallinn,https://www.kv.ee/burooruumid-alates-9-m2-kuni-50-m2-ruumid-on-rahul-3076401.html?nr=1595&search_key=b7da17717c3492f930c87b3256769403
480,6000,Harjumaa, Tallinn, Nõmme,https://www.kv.ee/2021-aasta-alguses-vabaneb-buroopind-suurusega-480-3184510.html?nr=1596&search_key=b7da17717c3492f930c87b3256769403
495,2974,Harjumaa, Tallinn, Põhja-Tallinn,https://www.kv.ee/pohjatallinnas-ristiku-tn-asuva-ajaloolise-hoone-2-3088076.html?nr=1597&search_key=b7da17717c3492f930c87b3256769403
102,1000,Harjumaa, Tallinn, Pirita,https://www.kv.ee/uurile-anda-eksklusiivne-aripind-pirita-aedlinnaku-3171582.html?nr=1598&search_key=b7da17717c3492f930c87b3256769403
88,528,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/aripind-uurile-suurusega-88-m2-buroo-koosneb-4st-r-3199239.html?nr=1599&search_key=b7da17717c3492f930c87b3256769403
300,2550,Harjumaa, Tallinn, Lasnamäe,https://www.kv.ee/uurile-anda-hea-asukohaga-ja-suureparase-merevaate-3168328.html?nr=1600&search_key=b7da17717c3492f930c87b3256769403
58,23,Harjumaa, Tallinn, Lasnamäe,https://www.kv.ee/pakkuda-kaubanduskeskuses-teeninduskaupluse-pindpi-3158025.html?nr=1601&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
95,570,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uurile-anda-eraldi-sissepaasuga-korged-ruumid-tege-3195587.html?nr=1602&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
73,250,Harjumaa, Viimsi vald, Miiduranna,https://www.kv.ee/uurile-anda-laotootmisruumid-miiduranna-sadama-ter-3184865.html?nr=1603&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
88,622,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uut-uurnikku-ootab-aripind-otse-tallinna-sudalinna-3025677.html?nr=1604&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
170,3071,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/anda-uurile-esinduslikud-burood-2018-aastal-valmin-3179264.html?nr=1605&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
620,5270,Harjumaa, Tallinn, Mustamäe,https://www.kv.ee/anname-uurile-2020-aasta-jaanuaris-valmiva-620-m-s-3172714.html?nr=1606&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
141,2500,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/pro-kapital-arimaja-i-korrusel-anda-uurile-atrakti-2681688.html?nr=1607&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
205,290,Tartumaa, Tartu, Tartu linn,https://www.kv.ee/viie-korruseline-torn-kus-kokku-on-205-m-pinda-sul-3096841.html?nr=1608&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
98,490,Lääne-Virumaa, Rakvere,,https://www.kv.ee/rakveres-kauba-tn-3-anda-uurile-kaasaegsed-kauplus-3162527.html?nr=1609&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
13,300,Harjumaa, Rae vald, Järveküla,https://www.kv.ee/esindusliku-valjanagemisega-uus-multifunktsionaaln-3187860.html?nr=1610&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
25,300,Harjumaa, Tallinn, Mustamäe,https://www.kv.ee/uurile-anda-kaubandusteeninduspind-sutiste-maximas-3187260.html?nr=1611&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
125,1000,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uurile-andauurile-anda-heas-korras-buroopind-125m-2729321.html?nr=1612&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
89,1450,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uurile-anda-luksuslik-4toaline-mere-ja-linnavaateg-3190498.html?nr=1613&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
19,167,Tartumaa, Tartu, Tartu linn,https://www.kv.ee/hoone-valmib-2020-maikuus-seega-hetkel-on-veel-voi-3198587.html?nr=1614&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
32,300,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/vaga-kaidavas-kohas-aripind-taiesti-renoveeritudsa-2932473.html?nr=1615&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
480,3360,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/anname-uurile-kulmad-laod-logistiliselt-mugavas-pi-3039033.html?nr=1616&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
14,60,Harjumaa, Tallinn, Lasnamäe,https://www.kv.ee/uurile-anda-laoboksid-14-ja-28-m2suureparane-asuko-3163007.html?nr=1617&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
195,1755,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uurile-anda-kuuenda-korruse-buroopind-suurusega-25-3188385.html?nr=1618&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
103,721,Harjumaa, Viimsi vald, Haabneeme,https://www.kv.ee/anname-uurile-ariruumi-magaziini-arihoones-pakkumi-3128235.html?nr=1619&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
193,2123,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/raekoja-platsi-vahetus-laheduses-kinga-tnl-uurile-3021418.html?nr=1620&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
75,413,Harjumaa, Tallinn, Mustamäe,https://www.kv.ee/jaheladu-75m2mustamael-kadaka-selver-vahetus-lahed-3169690.html?nr=1621&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
149,1937,Harjumaa, Tallinn, Lasnamäe,https://www.kv.ee/uurile-anda-aripind-sikupilli-asumi-uues-majas-ico-3197331.html?nr=1622&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
74,700,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uurile-anda-soodsa-hinnaga-avar-buroo-kesklinnas-p-2965986.html?nr=1623&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
68,950,Harjumaa, Tallinn, Lasnamäe,https://www.kv.ee/uurile-anda-uus-esinduslik-buroopind-ulemiste-city-3154694.html?nr=1624&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
30,300,Harjumaa, Tallinn, Põhja-Tallinn,https://www.kv.ee/uurile-anda-korral-eriparane-pind-vanalinna-laheda-3198836.html?nr=1625&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
583,2624,Harjumaa, Rae vald, Lehmja,https://www.kv.ee/anname-uurile-laoja-tootmispinna-lookivi-pargis-ta-3113022.html?nr=1626&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
356,4282,Tartumaa, Tartu, Tartu linn,https://www.kv.ee/www-sepa19-eeuurile-anda-kolmandal-korrusel-paikne-3094259.html?nr=1627&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
106,340,Läänemaa, Haapsalu, Haapsalu linn,https://www.kv.ee/pakkuda-on-erinevas-suuruses-kaubandus-buroo-lao-j-3091790.html?nr=1628&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
212,2976,Harjumaa, Tallinn, Mustamäe,https://www.kv.ee/anname-uurile-avara-vitriinakendega-212-6-m-aripin-3194625.html?nr=1629&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
277,5817,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uurile-anda-uks-viimastest-vabadest-buroodest-luks-3172330.html?nr=1630&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
75,300,Harjumaa, Tallinn, Nõmme,https://www.kv.ee/manta-maja-ainus-piirkonna-buroohotell-hammerhub-a-3079622.html?nr=1631&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
99,1330,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uurile-anda-99-5-m-suurune-buroopind-tonismae-prem-3190958.html?nr=1632&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
65,520,Harjumaa, Tallinn, Kristiine,https://www.kv.ee/anname-uurile-mustamae-tee-6b-hoone-teisel-korruse-3019037.html?nr=1633&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
38,345,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/anname-uurile-buroo-tallinna-kesklinnas-heas-asuko-3188346.html?nr=1634&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
35,245,Harjumaa, Tallinn, Kristiine,https://www.kv.ee/uurile-anda-varskelt-renoveeritud-buroopind-mustam-3119362.html?nr=1635&search_key=929e5c54ff15f75d7eb0bdb0cfc3bd0b
